,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,Color
0,1/3/17,2017,1,3,Tuesday,1,2017-01,379.11,380.38,374.08,374.77,868900,374.77,0.0,374.77,374.77,
1,1/4/17,2017,1,4,Wednesday,1,2017-01,374.91,383.9,372.87,381.86,984500,381.86,0.018918261000000002,378.315,378.315,
2,1/5/17,2017,1,5,Thursday,1,2017-01,382.62,392.67,379.05,391.89,1316700,391.89,0.026266249,382.84,382.84,
3,1/6/17,2017,1,6,Friday,1,2017-01,391.5,399.8,390.36,398.44,1149600,398.44,0.016713842,386.74,386.74,
4,1/9/17,2017,1,9,Monday,2,2017-02,398.7,399.25,392.11,395.06,793400,395.06,-0.008483095999999999,388.404,388.404,Green
5,1/10/17,2017,1,10,Tuesday,2,2017-02,412.64,420.23,408.2,414.48,3214100,414.48,0.049157124,392.75,392.75,Green
6,1/11/17,2017,1,11,Wednesday,2,2017-02,412.85,418.32,410.35,413.93,1273900,413.93,-0.001327008,395.7757143,395.7757143,Green
7,1/12/17,2017,1,12,Thursday,2,2017-02,411.63,414.0,407.8,409.35,850300,409.35,-0.011064641000000002,397.4725,397.4725,Green
8,1/13/17,2017,1,13,Friday,2,2017-02,409.93,413.95,409.01,410.75,572700,410.75,0.003420041,398.9477778,398.9477778,Green
9,1/17/17,2017,1,17,Tuesday,3,2017-03,406.41,411.87,404.41,405.87,833800,405.87,-0.011880718,399.64,399.64,Red
10,1/18/17,2017,1,18,Wednesday,3,2017-03,407.35,411.0,399.03,409.74,823800,409.74,0.009535061,400.5581818,400.5581818,Red
11,1/19/17,2017,1,19,Thursday,3,2017-03,409.7,410.95,406.0,408.87,503000,408.87,-0.0021232860000000003,401.2508333,401.2508333,Red
12,1/20/17,2017,1,20,Friday,3,2017-03,408.91,409.98,404.81,405.2,581300,405.2,-0.008975916,401.5546154,401.5546154,Red
13,1/23/17,2017,1,23,Monday,4,2017-04,405.71,409.26,402.01,407.72,632400,407.72,0.006219124,401.995,401.995,Green
14,1/24/17,2017,1,24,Tuesday,4,2017-04,407.72,419.57,405.78,417.88,687900,417.88,0.024919071,405.07428569999996,403.05400000000003,Green
15,1/25/17,2017,1,25,Wednesday,4,2017-04,419.0,425.61,418.57,419.54,732100,419.54,0.003972441,407.7657143,404.084375,Green
16,1/26/17,2017,1,26,Thursday,4,2017-04,421.0,425.1,417.5,418.73,470500,418.73,-0.00193068,409.68285710000004,404.94588239999996,Green
17,1/27/17,2017,1,27,Friday,4,2017-04,419.06,419.5,412.17,416.6,553500,416.6,-0.005086822,410.98,405.5933333,Green
18,1/30/17,2017,1,30,Monday,5,2017-05,416.21,421.7,414.74,417.95,587700,417.95,0.003240533,412.615,406.24368419999996,Red
19,1/31/17,2017,1,31,Tuesday,5,2017-05,416.73,422.25,415.48,421.44,737900,421.44,0.008350258000000001,413.1121429,407.0035,Red
20,2/1/17,2017,2,1,Wednesday,5,2017-05,420.31,422.58,417.61,420.23,750600,420.23,-0.002871088,413.56214289999997,407.6333333,Red
21,2/2/17,2017,2,2,Thursday,5,2017-05,420.0,427.67,413.67,423.3,1316200,423.3,0.007305468000000001,414.55857139999995,408.3454545,Red
22,2/3/17,2017,2,3,Friday,5,2017-05,430.95,434.59,402.89,404.08,3573900,404.08,-0.045405154,414.08214289999995,408.16,Red
23,2/6/17,2017,2,6,Monday,6,2017-06,398.81,402.0,395.08,395.59,1498800,395.59,-0.021010667,413.34785710000006,407.63625,Green
24,2/7/17,2017,2,7,Tuesday,6,2017-06,396.25,401.5,395.72,398.64,1270300,398.64,0.007710049,412.555,407.2764,Green
25,2/8/17,2017,2,8,Wednesday,6,2017-06,400.5,408.23,398.69,402.94,1075700,402.94,0.010786644,412.13142860000005,407.10961539999994,Green
26,2/9/17,2017,2,9,Thursday,6,2017-06,404.35,417.51,403.63,415.31,1292900,415.31,0.030699347000000002,412.85357139999996,407.41333330000003,Green
27,2/10/17,2017,2,10,Friday,6,2017-06,416.26,420.76,412.77,413.36,880000,413.36,-0.004695317,413.25642860000005,407.6257143,Green
28,2/13/17,2017,2,13,Monday,7,2017-07,415.72,419.47,413.55,414.14,585800,414.14,0.001887046,412.9892857,407.8503448,Green
29,2/14/17,2017,2,14,Tuesday,7,2017-07,414.15,420.98,413.51,419.54,639400,419.54,0.013039054,412.9892857,408.24,Green
30,2/15/17,2017,2,15,Wednesday,7,2017-07,420.05,425.59,419.01,423.34,822300,423.34,0.00905751,413.3185714,408.7270968,Green
31,2/16/17,2017,2,16,Thursday,7,2017-07,423.36,426.54,421.33,424.76,560400,424.76,0.00335431,413.90142860000003,409.228125,Green
32,2/17/17,2017,2,17,Friday,7,2017-07,424.46,428.52,423.19,427.61,543100,427.61,0.006709614,414.59142860000003,409.78515150000004,Green
33,2/21/17,2017,2,21,Tuesday,8,2017-08,429.0,434.69,428.73,432.36,911500,432.36,0.011108253,415.37142860000006,410.4491176,Red
34,2/22/17,2017,2,22,Wednesday,8,2017-08,432.0,434.37,426.99,427.61,665400,427.61,-0.010986216000000002,415.8985714,410.93942860000004,Red
35,2/23/17,2017,2,23,Thursday,8,2017-08,427.14,429.87,420.71,422.38,573500,422.38,-0.012230726,415.83285710000007,411.2572222,Red
36,2/24/17,2017,2,24,Friday,8,2017-08,419.47,421.44,411.62,420.9,941800,420.9,-0.00350398,417.0342857,411.5178378,Red
37,2/27/17,2017,2,27,Monday,9,2017-09,421.71,424.23,419.31,421.67,544500,421.67,0.00182946,418.89714289999995,411.785,Red
38,2/28/17,2017,2,28,Tuesday,9,2017-09,419.53,425.59,417.67,418.74,496700,418.74,-0.0069486159999999995,420.33285710000007,411.9633333,Red
39,3/1/17,2017,3,1,Wednesday,9,2017-09,422.51,424.0,416.25,419.15,715600,419.15,0.000979137,421.49071430000004,412.14300000000003,Red
